Year,Department,Salary_Cost,Equipment_Cost,Maintenance_Cost,Utilities_Cost,Miscellaneous_Cost,Total_Cost
2022,Civil,754404,270773,106597,60464,54564,1246802
2019,Electrical,710160,438367,148908,98514,72013,1467962
2022,Computer Science,746836,283939,135188,95311,49225,1310499
2020,Mechanical,758635,429671,114710,60300,68484,1431800
2020,Mechanical,767442,387186,129050,84563,49946,1418187
2019,Electrical,867206,348475,129249,98960,58280,1502170
2020,Computer Science,644645,262818,114247,63708,72782,1158200
2023,Mechanical,869388,259335,106408,78090,56295,1369516
2020,Electrical,836481,489427,85443,99151,62700,1573202
2022,Electrical,857320,305008,80079,91308,77888,1411603
2022,Computer Science,685501,321745,118345,66328,65536,1257455
2022,Civil,717450,424220,92901,76654,62609,1373834
2022,Electrical,795543,253577,147759,56214,78509,1331602
2023,Civil,841605,323916,122732,88913,39751,1416917
2021,Civil,879100,385148,97507,77552,38928,1478235
2019,Mechanical,800658,413997,115391,85377,36142,1451565
2022,Civil,616709,487153,114171,75734,75955,1369722
2020,Computer Science,812330,432941,131730,74721,46257,1497979
2022,Mechanical,877354,309314,87485,68610,52650,1395413
2020,Mechanical,769746,291205,117748,63622,68181,1310502
2020,Mechanical,700025,392167,83878,78875,53212,1308157
2022,Electrical,751152,363583,81949,73226,32190,1302100
2023,Electrical,784484,334715,100881,77677,31002,1328759
2020,Civil,790043,486576,131306,60298,73945,1542168
2020,Mechanical,665480,306680,89958,85848,72882,1220848
2022,Mechanical,842840,278400,139185,83755,53038,1397218
2020,Computer Science,834622,465369,88697,67744,38094,1494526
2020,Civil,717265,494223,95493,73434,52451,1432866
2022,Computer Science,813083,357345,122801,90314,33752,1417295
2022,Civil,718922,448418,101199,98001,50521,1417061
2019,Civil,721280,337110,145792,51726,57768,1313676
2023,Electrical,804736,370120,114488,98917,58410,1446671
2023,Electrical,763522,278562,110493,64268,67206,1284051
2020,Computer Science,684433,421735,129002,96745,34427,1366342
2023,Civil,673704,268510,103731,50907,35556,1132408
2020,Mechanical,606861,311608,87076,75759,71300,1152604
2019,Electrical,838366,453561,81071,63764,48772,1485534
2022,Mechanical,663888,302182,147602,74409,58063,1246144
2022,Computer Science,661293,485699,121410,58390,69760,1396552
2022,Electrical,813596,468739,134327,80172,52709,1549543
2023,Electrical,668515,276883,141072,85223,45319,1217012
2019,Civil,869209,484981,121041,87976,35383,1598590
2023,Computer Science,768756,452499,133326,90542,31233,1476356
2023,Civil,688720,416916,118549,97324,57146,1378655
2019,Electrical,764437,399800,133096,98196,54713,1450242
2019,Computer Science,788929,479995,135578,53365,78345,1536212
2019,Electrical,736694,261094,126390,75836,73758,1273772
2019,Computer Science,841540,383479,126052,78554,44789,1474414
2022,Electrical,691141,436484,123167,71663,32930,1355385
2021,Mechanical,846476,262644,134587,55951,42112,1341770
2021,Mechanical,622995,482380,141292,65175,42374,1354216
2019,Civil,680141,335834,122139,61027,61012,1260153
2021,Mechanical,739491,358982,90707,92273,48523,1329976
2021,Electrical,764909,441818,93140,60094,54783,1414744
2019,Electrical,670799,302748,91093,73081,45563,1183284
2021,Mechanical,779949,309021,85830,62167,73193,1310160
2023,Civil,830739,312651,110608,58769,40042,1352809
2020,Mechanical,637276,286807,127287,73060,73163,1197593
2020,Computer Science,634523,415144,113427,51020,52820,1266934
2019,Computer Science,797127,419470,108395,61845,61252,1448089
2022,Computer Science,610514,278669,97970,86612,32208,1105973
2019,Mechanical,647456,411233,103371,86341,70321,1318722
2022,Mechanical,607233,388354,99266,60485,43796,1199134
2020,Mechanical,863246,276539,99195,88210,68390,1395580
2019,Computer Science,666133,384379,107315,57914,55426,1271167
2023,Civil,704085,267745,121581,90719,52670,1236800
2021,Electrical,709101,420505,125537,58802,54320,1368265
2022,Mechanical,708684,483670,102184,91288,50074,1435900
2021,Civil,694937,284555,103279,83314,57931,1224016
2021,Electrical,641548,382145,106570,98298,48993,1277554
2019,Electrical,809272,282683,123030,69565,62991,1347541
2021,Electrical,713815,275741,142245,77617,45003,1254421
2023,Civil,820994,403358,135467,91766,77496,1529081
2021,Civil,727602,253599,115133,75609,44743,1216686
2019,Computer Science,726270,378513,123805,94233,44007,1366828
2023,Civil,887714,277293,123998,70371,54300,1413676
2020,Civil,621182,265389,97238,98384,75352,1157545
2021,Civil,793691,490721,148264,69124,71282,1573082
2019,Electrical,878187,262318,128245,62717,46175,1377642
2020,Mechanical,832362,429947,103557,98193,35973,1500032
2020,Computer Science,797008,253055,145667,87669,39703,1323102
2022,Mechanical,881383,371164,145074,76272,62313,1536206
2023,Mechanical,741488,332579,138204,61842,48470,1322583
2021,Civil,734484,387392,105575,88476,59176,1375103
2019,Computer Science,624406,354817,100069,52082,53280,1184654
2022,Mechanical,864019,254642,104400,76261,53867,1353189
2023,Mechanical,809097,473766,104146,70970,70431,1528410
2022,Computer Science,758058,259321,86846,59795,51845,1215865
2023,Civil,876835,329968,120352,95309,46241,1468705
2023,Mechanical,800919,469365,103694,83028,65055,1522061
2021,Electrical,610794,440690,101740,70180,38878,1262282
2023,Mechanical,799542,352770,129438,96335,40209,1418294
2022,Electrical,747478,407116,110996,77351,58499,1401440
2023,Civil,846969,403043,143874,88750,67603,1550239
2021,Mechanical,641708,359762,139682,83268,65302,1289722
2021,Computer Science,774469,364183,124200,51015,41004,1354871
2022,Computer Science,723313,367159,102970,93293,60587,1347322
2020,Mechanical,883496,275727,90895,74489,63390,1387997
2020,Civil,836668,403631,118071,86731,58400,1503501
2023,Civil,618482,323820,132268,61866,40975,1177411
2019,Computer Science,763543,359062,102258,95015,42585,1362463
2023,Mechanical,654213,464273,137300,85474,36876,1378136
2022,Civil,875170,277476,141915,65272,78104,1437937
2022,Computer Science,838697,443755,88444,82161,43599,1496656
2022,Electrical,605435,392063,146535,52099,55239,1251371
2022,Mechanical,739565,466169,83760,56386,73906,1419786
2022,Electrical,803299,370355,116884,55338,50378,1396254
2021,Electrical,882533,320047,106022,58300,56568,1423470
2020,Civil,631498,391868,134504,71400,61510,1290780
2022,Civil,635825,253881,123130,74641,65462,1152939
2019,Civil,879078,265668,123881,54297,50688,1373612
2019,Mechanical,605574,481789,142399,69332,51796,1350890
2019,Electrical,730698,415384,116451,91173,71478,1425184
2019,Mechanical,769251,278106,131413,97862,60796,1337428
2021,Civil,642782,473830,142278,65201,50817,1374908
2019,Electrical,660561,265729,109639,95382,40061,1171372
2022,Mechanical,626751,379354,114621,96129,54401,1271256
2023,Mechanical,656572,320320,93079,83808,33810,1187589
2019,Computer Science,897345,304913,86895,62810,63680,1415643
2021,Mechanical,636069,438098,132142,57988,53826,1318123
2021,Civil,813262,309402,92552,90327,34902,1340445
2019,Mechanical,888514,371649,128821,69579,49612,1508175
2023,Electrical,826090,353930,113630,71483,79723,1444856
2019,Mechanical,858245,418354,92247,50503,40663,1460012
2021,Computer Science,781303,480521,97603,55344,43967,1458738
2020,Electrical,679468,455710,125564,58947,77776,1397465
2022,Electrical,760371,490874,80527,59533,70536,1461841
2021,Computer Science,690715,419290,136521,97576,35135,1379237
2019,Civil,670793,399022,148458,90916,44072,1353261
2022,Electrical,788206,309739,85849,96923,71057,1351774
2019,Civil,711672,498765,130314,65193,50417,1456361
2019,Electrical,742321,254507,125724,51381,36443,1210376
2020,Electrical,720902,427375,97230,57012,67610,1370129
2022,Civil,621390,352552,122730,65213,51925,1213810
2022,Electrical,620369,329059,83323,77563,60002,1170316
2020,Civil,743953,405739,80445,65212,66795,1362144
2021,Computer Science,871731,385064,89963,80124,60993,1487875
2019,Civil,824872,487898,130511,96576,30260,1570117
2023,Computer Science,838634,380514,95437,60711,39127,1414423
2019,Electrical,647013,454635,96855,80266,79483,1358252
2019,Civil,717341,337680,90847,97941,66978,1310787
2021,Electrical,794692,275530,83236,59515,54843,1267816
2019,Civil,746826,491348,141897,70193,62840,1513104
2020,Computer Science,707584,265305,93487,94707,67879,1228962
2020,Computer Science,678113,359097,142423,52131,32921,1264685
2022,Civil,635282,433201,93155,52424,73413,1287475
2023,Computer Science,767809,468339,91255,94344,33888,1455635
2019,Electrical,886268,467281,81979,71823,30177,1537528
2019,Electrical,696651,479905,101305,59200,37426,1374487
2021,Mechanical,846549,302044,115094,73031,34495,1371213
2020,Computer Science,685395,472450,115098,53216,63037,1389196
2023,Electrical,611345,380436,113770,95594,40047,1241192
2022,Civil,896221,339363,89734,50016,48039,1423373
2020,Computer Science,797472,308817,119605,87438,65301,1378633
2022,Electrical,612055,353038,135619,76378,78707,1255797
2021,Computer Science,685283,296666,107881,85391,75114,1250335
2021,Civil,644484,407245,143401,81734,51366,1328230
2019,Electrical,677514,268909,111177,63350,50745,1171695
2023,Mechanical,690135,445039,120122,99281,73082,1427659
2022,Mechanical,897915,412079,115297,64450,41353,1531094
2020,Computer Science,788726,394057,116680,51473,55080,1406016
2021,Civil,814223,499521,131044,75525,48788,1569101
2019,Electrical,717399,272525,124084,78572,64969,1257549
2019,Civil,780645,362293,114189,92028,35659,1384814
2022,Electrical,773805,351046,93510,87079,63921,1369361
2021,Computer Science,729344,287403,102152,80110,34161,1233170
2023,Electrical,742832,418265,106445,85504,45503,1398549
2021,Civil,713226,488037,81195,76888,57003,1416349
2022,Civil,699250,384902,139949,51946,54982,1331029
2022,Computer Science,887906,437216,105433,71943,33478,1535976
2021,Civil,782058,381605,85305,65740,58620,1373328
2022,Electrical,765404,493626,138860,76445,79428,1553763
2021,Computer Science,771172,402018,128648,99452,65129,1466419
2020,Electrical,736016,273504,143090,59176,57172,1268958
2021,Civil,648825,360551,122113,79866,40160,1251515
2021,Computer Science,613877,305715,122642,94651,65214,1202099
2022,Electrical,729065,409327,113062,87269,41931,1380654
2022,Civil,708443,437513,121604,61618,61170,1390348
2019,Civil,717674,286855,86678,74736,61190,1227133
2019,Mechanical,715074,291721,112121,88682,37601,1245199
2020,Civil,851881,361597,128503,74601,67819,1484401
2019,Electrical,631629,422922,96494,82850,33517,1267412
2021,Computer Science,754030,350659,124185,91132,34802,1354808
2022,Mechanical,877919,284723,89678,55804,75158,1383282
2019,Civil,765279,416811,117632,69525,48759,1418006
2019,Civil,862199,255539,126235,95061,37850,1376884
2020,Civil,849084,454101,81648,77419,36744,1498996
2020,Electrical,688697,445581,147917,73746,52773,1408714
2021,Mechanical,763945,366360,96489,62812,78185,1367791
2022,Electrical,701505,351140,85818,76686,36248,1251397
2020,Mechanical,797277,402383,113149,85852,78196,1476857
2019,Computer Science,756390,484315,107312,52045,37136,1437198
2022,Electrical,633734,319180,117124,75336,72285,1217659
2022,Electrical,813299,366985,81316,99356,41800,1402756
2019,Computer Science,749594,335981,140046,95952,43417,1364990
2020,Mechanical,742728,285934,149610,80460,55305,1314037
2019,Civil,746965,390583,144042,97143,66735,1445468
2022,Computer Science,878637,381255,103102,71668,75129,1509791
2023,Civil,695872,259475,111957,84320,67719,1219343
2023,Civil,769524,465838,92872,90584,34002,1452820
2021,Computer Science,744338,444202,130094,82575,32332,1433541
2019,Mechanical,716603,309577,127719,83592,56149,1293640
2019,Civil,616940,276008,99693,86516,74228,1153385
2021,Computer Science,755075,457940,130478,55578,34375,1433446
2021,Electrical,727880,429013,123677,87965,59458,1427993
2021,Electrical,698408,292756,140012,91798,63453,1286427
2022,Electrical,896959,451330,90760,71079,50272,1560400
2019,Computer Science,761941,330730,91584,50937,47352,1282544
2022,Electrical,649297,473239,82106,57595,32033,1294270
2021,Civil,660107,408984,93669,50424,69843,1283027
2019,Electrical,619622,332702,105223,94270,51645,1203462
2022,Electrical,892552,431731,140666,53051,55343,1573343
2022,Civil,739909,296840,115706,85673,77415,1315543
2021,Electrical,746479,462584,148019,81342,30645,1469069
2019,Civil,760381,288623,141585,62238,61775,1314602
2021,Electrical,693190,313303,107482,77786,34121,1225882
2019,Civil,852356,296062,140369,79668,38112,1406567
2023,Electrical,817984,306690,114143,52694,39271,1330782
2020,Civil,600370,458654,104240,53595,69204,1286063
2020,Computer Science,862630,348980,90015,51267,55212,1408104
2020,Civil,885906,404706,143023,50421,75285,1559341
2021,Electrical,626613,385162,131500,69650,40292,1253217
2023,Electrical,843876,295266,143925,57017,53481,1393565
2019,Mechanical,603196,411080,129631,59849,71060,1274816
2022,Civil,826009,337643,143652,73513,68354,1449171
2019,Computer Science,608572,308704,131087,99117,58493,1205973
2022,Civil,645853,492153,134909,94899,59475,1427289
2019,Civil,763347,443938,91565,91644,30868,1421362
2023,Computer Science,716074,367374,107597,52226,77370,1320641
2022,Civil,643209,258382,145623,54388,68682,1170284
2021,Computer Science,694244,428846,89432,52422,38213,1303157
2019,Computer Science,832067,455642,145714,89994,52739,1576156
2019,Civil,853516,455134,129314,59269,31903,1529136
2022,Civil,808472,339609,121965,62177,65344,1397567
2021,Electrical,700300,296698,147957,62032,77491,1284478
2021,Electrical,798033,251110,123715,94276,66877,1334011
2023,Mechanical,657175,365266,133450,57316,50998,1264205
2021,Mechanical,701551,463053,141902,52843,48319,1407668
2021,Civil,881120,381458,108317,78015,63383,1512293
2021,Computer Science,846984,439585,146753,54111,51441,1538874
2020,Mechanical,656866,465192,115242,95231,40642,1373173
2023,Civil,717752,492282,80929,72043,41776,1404782
2019,Mechanical,853564,481059,93580,80101,54862,1563166
2022,Computer Science,893257,297801,100742,96546,61103,1449449
2019,Civil,846592,364012,97833,86992,41510,1436939
2023,Computer Science,615401,346085,93527,77870,64691,1197574
2022,Civil,815432,452929,138139,87747,43402,1537649
2023,Mechanical,765486,471048,149585,99577,36455,1522151
2021,Electrical,747214,281566,121057,85169,70372,1305378
2022,Mechanical,846200,488054,147439,91709,70920,1644322
2021,Mechanical,810536,413593,124261,79415,32773,1460578
2019,Electrical,806329,491300,80042,65685,73050,1516406
2019,Electrical,676693,273798,102769,65963,57377,1176600
2022,Civil,635135,394637,147113,79698,39776,1296359
2022,Civil,890006,273027,102449,79150,62059,1406691
2023,Computer Science,736262,488108,118653,99195,59405,1501623
2023,Computer Science,670199,478703,108859,71426,30143,1359330
2021,Mechanical,604331,255631,88576,56035,55698,1060271
2022,Electrical,783258,470937,125874,57071,47083,1484223
2019,Computer Science,890693,489628,116345,70578,75169,1642413
2023,Mechanical,812854,306878,149428,78044,52702,1399906
2023,Electrical,625761,295206,84321,78842,63038,1147168
2019,Civil,865406,353473,85776,66531,71022,1442208
2023,Mechanical,855792,439654,96119,52170,31007,1474742
2021,Civil,784544,308334,110569,74687,57419,1335553
2022,Computer Science,684667,322323,118596,87886,76483,1289955
2019,Computer Science,604677,303619,132967,57297,73232,1171792
2022,Electrical,804580,353536,113063,54163,40174,1365516
2023,Mechanical,730334,407947,102340,90794,60880,1392295
2023,Civil,660148,405586,135430,91787,37203,1330154
2019,Electrical,675271,403652,86668,92712,66492,1324795
2021,Computer Science,634457,466899,88195,85707,58989,1334247
2020,Computer Science,642531,385360,137995,88495,57331,1311712
2019,Mechanical,804335,256734,118250,94688,74694,1348701
2020,Civil,728027,464072,96076,74448,52983,1415606
2020,Mechanical,794243,289008,95376,53616,59735,1291978
2021,Civil,857231,299349,135839,88173,70685,1451277
2020,Civil,849301,388886,144723,81748,50893,1515551
2020,Mechanical,645771,424226,123442,78299,45739,1317477
2021,Electrical,693135,388923,85392,93237,59917,1320604
2020,Mechanical,666354,374478,107106,91119,50704,1289761
2020,Mechanical,712743,382672,104809,61557,60152,1321933
2020,Computer Science,844453,306614,80693,88648,77383,1397791
2019,Computer Science,633892,453474,139821,64096,68240,1359523
2019,Mechanical,802268,253692,91352,83781,37206,1268299
2019,Mechanical,695057,376745,132196,58743,53256,1315997
2021,Computer Science,638409,439099,84992,57391,54307,1274198
2023,Civil,846889,498843,133076,59355,34716,1572879
2020,Mechanical,749457,270373,103354,55247,65388,1243819
2020,Electrical,626382,479708,83312,90286,48920,1328608
2021,Electrical,676675,493085,125833,56290,67871,1419754
2020,Electrical,622419,443877,84318,84076,72928,1307618
2019,Mechanical,681238,362413,146003,92452,53464,1335570
2023,Civil,825825,461455,107192,75817,68085,1538374
2022,Civil,770363,264507,117489,95491,43587,1291437
2020,Computer Science,874541,312931,120309,87595,31195,1426571
2019,Mechanical,635169,325499,108273,82827,55083,1206851
2022,Civil,662182,452714,127553,76209,79556,1398214
2023,Mechanical,759413,453941,109473,89754,52438,1465019
2022,Computer Science,777216,364362,141410,82118,50009,1415115
2019,Computer Science,679360,347449,93679,93411,70636,1284535
2022,Computer Science,613444,346819,125310,65216,65587,1216376
2021,Electrical,723662,289423,140683,57860,51143,1262771
2022,Mechanical,845488,353612,105992,63425,43696,1412213
2020,Computer Science,698843,476423,109433,63806,37564,1386069
2020,Mechanical,873118,336120,105933,97718,33637,1446526
2021,Electrical,712150,367409,125020,74911,64641,1344131
2019,Electrical,856620,340918,109236,75406,47790,1429970
2020,Computer Science,694826,316600,138735,84360,58159,1292680
2023,Computer Science,825121,291848,89770,64464,35514,1306717
2020,Civil,898634,490491,149285,80587,64345,1683342
2020,Mechanical,841435,256820,115271,88865,51763,1354154
2019,Computer Science,724713,258512,103439,56458,42568,1185690
2022,Civil,655612,417797,91101,59151,58003,1281664
2020,Mechanical,700474,301534,124917,86934,35311,1249170
2021,Computer Science,898303,466223,121196,56488,71596,1613806
2022,Civil,639710,375191,103569,74541,68315,1261326
2023,Civil,713096,420848,121887,71803,47191,1374825
2019,Mechanical,809417,310945,100893,93183,50908,1365346
2023,Civil,811463,495420,135304,94776,31415,1568378
2022,Mechanical,694924,333420,112399,74718,70276,1285737
2022,Mechanical,868602,428527,105236,61170,77650,1541185
2022,Mechanical,897668,333488,129531,67430,48833,1476950
2023,Electrical,737925,433505,89442,97284,45406,1403562
2022,Civil,894366,259711,136437,59260,59336,1409110
2023,Mechanical,618320,440334,140342,57636,59421,1316053
2022,Computer Science,694154,336009,115069,86955,66264,1298451
2021,Electrical,652243,464857,118560,86108,41780,1363548
2022,Electrical,776687,259597,138070,88945,69871,1333170
2023,Civil,672833,310067,122427,65941,42221,1213489
2020,Mechanical,693476,468592,140496,53435,51116,1407115
2022,Civil,714560,298022,144557,78355,69790,1305284
2020,Electrical,637941,462996,128534,57300,70263,1357034
2021,Mechanical,625368,362673,107930,95437,44422,1235830
2019,Computer Science,893128,487335,87288,72183,71474,1611408
2021,Mechanical,803990,496928,141518,83733,51483,1577652
2022,Electrical,857481,399854,112400,57444,70100,1497279
2020,Computer Science,600801,301782,81567,75755,35416,1095321
2020,Mechanical,706538,453216,127878,93394,45251,1426277
2023,Computer Science,685269,479723,128850,73062,57074,1423978
2020,Computer Science,853765,436085,81094,64610,76540,1512094
2023,Electrical,898113,360716,91135,50500,42164,1442628
2019,Computer Science,691679,489381,125113,54554,32468,1393195
2022,Civil,756777,368030,138791,99201,73655,1436454
2023,Electrical,791375,322036,89684,75545,32027,1310667
2019,Civil,890507,285342,138552,96059,53555,1464015
2020,Computer Science,761792,335745,88046,56771,41944,1284298
2020,Civil,633351,402049,84934,67499,30315,1218148
2019,Mechanical,711023,484648,139556,53932,44133,1433292
2020,Computer Science,767217,307396,126806,76055,66757,1344231
2019,Mechanical,687948,364836,81354,87202,63298,1284638
2023,Civil,820686,356998,133046,77700,54268,1442698
2023,Mechanical,819188,300021,145064,53567,73362,1391202
2019,Computer Science,876999,450129,137184,51658,34757,1550727
2023,Mechanical,861677,380672,82963,92836,70640,1488788
2023,Civil,777476,368559,107424,96929,78266,1428654
2023,Civil,750641,316836,83042,90712,59967,1301198
2021,Civil,725074,408147,87139,76627,55795,1352782
2022,Computer Science,860078,470587,91226,88568,58798,1569257
2020,Civil,654437,411874,118108,70760,72726,1327905
2021,Computer Science,756810,458833,148617,79985,63835,1508080
2023,Mechanical,690410,327017,109815,64408,61461,1253111
2019,Civil,619731,467825,87802,79832,63495,1318685
2023,Mechanical,741203,491421,122230,90785,46627,1492266
2022,Electrical,785169,436894,143372,85583,56361,1507379
2023,Mechanical,865033,432675,134020,83738,30711,1546177
2019,Electrical,609569,352689,97465,74204,41085,1175012
2022,Mechanical,806749,330291,87994,63285,57726,1346045
2023,Computer Science,685192,340450,83531,82975,37924,1230072
2022,Mechanical,854829,416664,89343,66643,45549,1473028
2020,Computer Science,687154,306006,139066,55025,38462,1225713
2020,Computer Science,808542,407341,86229,87126,72757,1461995
2023,Civil,708073,354268,124789,66888,32560,1286578
2022,Computer Science,819894,300138,124069,95258,51523,1390882
2019,Electrical,869756,312398,89524,84527,49944,1406149
2023,Civil,651644,471163,143103,73898,32177,1371985
2020,Civil,632069,400946,88103,97069,79989,1298176
2020,Mechanical,745006,307228,138581,64387,50098,1305300
2023,Computer Science,618706,312670,134203,96435,65846,1227860
2022,Computer Science,774588,375613,95090,53794,57475,1356560
2020,Electrical,703602,352071,95915,53590,72736,1277914
2022,Mechanical,896773,492952,121477,64698,62447,1638347
2020,Mechanical,724746,360572,136987,62332,51416,1336053
2020,Civil,620431,497766,133238,89738,44120,1385293
2021,Civil,787805,388997,95029,59593,32948,1364372
2020,Civil,640088,253107,133520,80107,32520,1139342
2019,Electrical,775207,336388,131464,81490,37269,1361818
2023,Electrical,831110,345719,101961,86097,56961,1421848
2023,Civil,631385,368018,106835,61036,43336,1210610
2022,Mechanical,718104,277617,107725,78561,75198,1257205
2020,Electrical,612818,324258,105357,64372,44020,1150825
2019,Mechanical,755049,300075,81244,84860,57280,1278508
2022,Mechanical,649832,376998,147952,69351,73478,1317611
2021,Computer Science,683990,272631,128061,80327,46746,1211755
2022,Civil,809966,373120,86490,68059,32256,1369891
2022,Computer Science,672204,443516,85839,77188,70120,1348867
2020,Civil,645784,347158,104992,83055,57712,1238701
2021,Civil,609921,497656,124938,99937,42836,1375288
2022,Mechanical,897103,388955,136249,52316,55711,1530334
2019,Civil,894472,400780,124735,66259,34358,1520604
2019,Mechanical,855564,296221,130734,85606,41339,1409464
2023,Mechanical,689506,398269,127080,61829,62039,1338723
2021,Civil,674408,402206,104260,58137,51245,1290256
2021,Mechanical,723852,355922,139607,74502,77251,1371134
2023,Mechanical,815838,283550,141852,77204,47259,1365703
2022,Mechanical,626708,264642,108380,51265,37129,1088124
2021,Electrical,618847,401511,121191,85751,78789,1306089
2019,Mechanical,655989,478851,84930,72285,72112,1364167
2019,Electrical,604922,356093,84353,74315,70573,1190256
2020,Electrical,652335,405655,87832,97457,71588,1314867
2021,Mechanical,881695,343885,129554,96875,41211,1493220
2022,Mechanical,750453,329538,134017,90911,60197,1365116
2023,Electrical,622948,312014,137298,90798,45628,1208686
2023,Electrical,692264,269523,131389,95890,56300,1245366
2022,Mechanical,659072,360285,105525,93420,75708,1294010
2020,Mechanical,813321,451615,148211,83379,77092,1573618
2023,Civil,733558,467043,111280,86291,47512,1445684
2021,Electrical,666691,355879,91240,77152,50945,1241907
2020,Electrical,741154,340629,145092,55424,71723,1354022
2021,Civil,607086,498950,149541,59939,63787,1379303
2019,Electrical,667853,495560,142851,80253,51408,1437925
2020,Computer Science,878060,326830,86544,84396,78408,1454238
2023,Electrical,877392,485013,137981,63176,50311,1613873
2020,Civil,886370,295538,97332,57907,65609,1402756
2020,Computer Science,838922,297310,106836,53372,41139,1337579
2020,Mechanical,648380,391980,94388,77572,68245,1280565
2020,Civil,869992,365266,81694,74592,71634,1463178
2021,Civil,614274,438362,129294,63102,47610,1292642
2019,Mechanical,860115,434706,118769,92557,58952,1565099
2022,Civil,696494,262699,119420,75642,43568,1197823
2020,Electrical,715981,481241,117855,53139,54899,1423115
2023,Mechanical,766305,316912,81460,61643,73798,1300118
2020,Civil,616304,395327,127646,68643,42002,1249922
2023,Mechanical,873438,329183,121252,85018,37529,1446420
2021,Mechanical,888569,310282,89835,88889,48069,1425644
2023,Mechanical,799783,308249,90910,78780,78478,1356200
2022,Computer Science,710777,288176,88463,90949,33712,1212077
2019,Civil,691549,258163,93336,98071,69826,1210945
2023,Computer Science,693464,304210,106534,66667,49328,1220203
2023,Civil,706748,373844,82369,80632,47711,1291304
2019,Electrical,878235,354587,105381,88493,35906,1462602
2022,Electrical,854174,481352,105407,98352,59107,1598392
2020,Electrical,731074,321979,142552,79408,47813,1322826
2023,Civil,853890,328860,115939,74302,39153,1412144
2019,Mechanical,650411,402215,147576,71621,76213,1348036
2021,Mechanical,858901,486971,106170,63219,61679,1576940
2019,Computer Science,695696,254920,102369,91562,59588,1204135
2021,Computer Science,751779,497647,124544,75939,78096,1528005
2022,Electrical,746320,332911,85900,96880,53770,1315781
2020,Computer Science,671309,287996,120733,94312,48852,1223202
2019,Civil,809394,392820,80589,86843,77422,1447068
2023,Civil,746109,344071,140044,62778,49612,1342614
2022,Computer Science,667421,462323,145311,88930,60907,1424892
2019,Computer Science,836436,297252,137926,79870,60171,1411655
2023,Computer Science,613450,372734,129008,90404,45448,1251044
2019,Computer Science,609491,444251,146794,72121,33966,1306623
2021,Electrical,717026,387522,82866,90770,71876,1350060
2019,Electrical,674804,302756,132890,96221,51401,1258072
2019,Computer Science,719498,300235,121504,80158,51539,1272934
2019,Civil,838515,340546,133374,73456,64018,1449909
2022,Electrical,890458,381092,109404,97401,34688,1513043
2019,Civil,796701,375802,145223,62992,50457,1431175
2023,Mechanical,842223,461325,80637,94894,66555,1545634
2021,Civil,609967,493956,95828,75390,71899,1347040
2021,Computer Science,812826,358421,133544,95858,61379,1462028
2019,Mechanical,805235,390736,125097,66756,40470,1428294
2022,Electrical,770491,316635,112022,71971,68426,1339545
2022,Electrical,628876,273225,112202,57071,39193,1110567
2023,Mechanical,819516,449245,108704,77574,64980,1520019
2019,Civil,751043,356885,103641,96517,69635,1377721
