Year,Department,Faculty_Count,Student_Count,Lab_Count,Building_Area,Tuition_Income,Total_Cost
2022,CIVIL,24,584,10,703,1086132,5050412
2022,IT,25,573,8,789,3066375,5762280
2023,AIDS,13,319,6,1049,2618788,4291627
2019,IT,20,538,7,685,1972046,4646975
2023,CSE,25,569,7,1280,4194992,6094947
2023,IT,31,717,9,1149,2039375,6636363
2019,ECE,35,609,10,596,3318762,5875273
2019,ECE,18,330,6,1493,5232326,4056893
2019,CIVIL,16,403,6,1455,4499050,3480038
2019,MECH,30,485,10,1237,3788091,5350476
2022,IT,17,427,6,723,2323291,3865847
2021,EEE,28,509,9,523,1834657,5280215
2021,ECE,39,713,11,550,1041189,6682618
2019,MECH,27,580,12,538,3437504,5418099
2021,CSE,29,552,7,1174,2888414,5233653
2021,AIDS,13,318,6,1081,5891447,5179217
2019,AIDS,20,435,8,578,2673686,4159725
2021,ECE,23,522,9,663,1085587,4648092
2023,MECH,12,302,7,943,3781391,4424344
2020,ECE,29,535,9,1275,5485293,5499948
2020,AIDS,31,764,12,786,5204319,7403152
2019,IT,24,527,7,1051,3466896,4144609
2022,MECH,39,798,12,1511,5871160,7645070
2019,CIVIL,36,820,12,590,3219298,5994726
2022,IT,17,438,5,1304,1026467,4196518
2020,IT,22,575,8,1082,5015382,5547692
2019,IT,32,590,8,1266,3161036,5212587
2023,CIVIL,20,352,7,1347,3763725,4118283
2021,CSE,19,409,5,656,2536661,4173828
2022,EEE,18,303,6,1011,1828955,4248595
2021,ECE,19,346,6,516,4966188,4497091
2021,AIDS,22,393,8,1151,5836483,5738453
2019,ECE,45,859,12,1019,2452337,6916823
2021,MECH,27,512,11,571,5194661,5715826
2023,CSE,44,735,11,902,5085020,7892554
2021,MECH,34,807,12,1410,3460834,7583963
2019,ECE,29,504,8,1283,1447955,5125067
2023,AIDS,36,680,10,1243,2050169,7367640
2020,CIVIL,21,372,7,738,1783837,3789072
2021,ECE,53,815,12,1364,3208055,8436243
2019,IT,16,375,5,1090,5814457,4039623
2020,ECE,23,376,7,1494,1426228,4409161
2020,IT,39,709,9,1041,1463324,6206431
2022,CIVIL,21,405,7,1057,2032806,4056274
2023,ECE,38,850,12,1205,2458042,7748778
2021,CSE,35,775,9,960,5848051,6479047
2019,CSE,26,574,8,832,2130745,4959076
2022,MECH,18,387,8,1401,5364764,4776758
2023,CIVIL,20,376,7,589,1222779,3780011
2022,CSE,25,376,6,940,2775341,4052930
2023,ECE,47,741,12,531,5790099,8377767
2023,CIVIL,40,839,12,885,4469183,7163781
2021,AIDS,27,544,10,1178,2047887,6133760
2023,IT,41,877,11,1201,2914501,7979560
2022,ECE,47,681,12,1421,3839301,7675105
2023,IT,57,869,11,1099,2795413,8847832
2021,IT,24,441,7,1091,1728543,4852242
2021,CIVIL,43,667,12,768,3515867,5838700
2022,CIVIL,15,383,6,963,5538441,4196953
2020,MECH,24,442,11,1151,5006696,5632944
2020,IT,45,651,10,1073,5901694,6776807
2023,MECH,52,844,12,1049,5363285,9207954
2019,IT,18,451,6,900,3353371,4336016
2023,MECH,17,457,9,828,4967054,5637863
2022,MECH,33,745,12,734,1127210,6691874
2022,AIDS,31,602,11,1210,1858438,6692214
2022,MECH,36,749,12,928,1539761,6862901
2022,CIVIL,24,523,10,541,1081697,4380660
2022,MECH,15,342,8,1221,1020063,3758285
2021,IT,25,563,7,1298,4661721,5124386
2020,MECH,15,302,7,1259,4681866,3998532
2022,CSE,30,567,8,526,1712060,5610200
2019,EEE,41,895,12,926,4742739,7498809
2019,IT,15,315,5,1333,3616992,3257062
2019,CSE,41,633,9,685,3190544,5670368
2019,IT,51,763,11,1164,4166067,6449542
2021,CIVIL,16,358,6,685,2611345,3740047
2019,EEE,27,476,9,1379,1195423,4369011
2022,EEE,22,362,8,1079,4386242,5358929
2023,CIVIL,47,860,12,1014,4695451,7546911
2019,EEE,31,606,10,1447,5053564,5601962
2021,CIVIL,32,545,10,614,2808773,5231229
2021,CSE,32,588,8,828,1999223,5616371
2019,AIDS,30,631,10,1219,4181223,6603159
2023,IT,49,826,11,1284,4113336,8448150
2019,CIVIL,30,554,10,1486,4709776,4822679
2021,IT,36,809,9,1103,4258217,6263455
2020,CSE,46,762,11,1298,4010935,6791638
2022,AIDS,24,498,8,690,4167812,5658421
2021,CSE,30,570,8,642,3018026,4873246
2019,EEE,45,857,12,1180,3035298,7131529
2022,IT,20,363,6,661,1702921,4466576
2019,ECE,27,529,9,869,4927169,4860411
2019,AIDS,36,548,9,745,3326248,6077161
2020,EEE,24,545,10,1270,4111652,5520671
2022,AIDS,45,886,12,682,5251536,9217685
2022,EEE,30,456,9,1225,3509125,5466680
2020,CSE,38,863,10,944,2357308,6916399
2021,CIVIL,20,387,8,1184,4627626,4360705
2019,IT,27,612,8,999,4153786,5229873
2023,MECH,21,365,9,719,1341798,4496761
2019,MECH,23,319,9,1430,5318367,4777716
2019,CSE,16,332,5,1271,1072195,3610297
2021,IT,37,857,10,674,4216105,7110945
2019,IT,15,372,5,1195,4532029,3464520
2020,CSE,33,642,9,587,5110583,5914795
2020,IT,23,432,6,943,3576209,3763800
2022,CIVIL,18,354,6,684,2096077,3810746
2023,CSE,25,360,6,1302,2063114,4406990
2019,CIVIL,46,819,12,1358,1640147,6566524
2019,IT,26,571,8,1155,3470108,4994306
2021,CSE,28,545,7,1147,1528057,5206015
2020,IT,22,475,7,820,5132154,4514601
2023,CSE,33,616,8,1343,5246523,6341091
2022,IT,21,430,6,635,2870115,4133484
2020,CIVIL,21,401,8,884,3491051,4544225
2022,ECE,27,609,10,856,4761003,7112299
2021,CIVIL,26,591,10,736,4474462,5731351
2021,IT,39,794,10,532,5414507,6461936
2019,CSE,33,660,9,1009,3214442,5607590
2023,MECH,29,637,12,1505,4362734,7946858
2022,CIVIL,50,878,12,990,2405146,7667428
2020,CIVIL,18,309,6,1370,4555306,3974404
2021,EEE,16,348,6,817,1361470,3372407
2019,MECH,48,786,12,1273,4105217,6827403
2019,IT,36,620,8,649,1000503,5264026
2022,ECE,50,868,12,992,2551610,8995107
2021,CSE,24,432,7,725,1800008,4217108
2023,EEE,45,882,12,713,4337295,8722891
2021,IT,19,382,5,708,4944044,4450764
2022,AIDS,15,356,6,872,3751477,4239276
2022,ECE,29,675,10,1232,1950289,6049133
2021,CIVIL,32,648,10,1040,4792127,5872368
2022,AIDS,30,570,10,910,1853144,6628558
2021,CIVIL,46,782,12,1040,2126857,6117784
2020,CIVIL,26,410,8,1097,5402873,4855723
2021,AIDS,18,375,7,720,3015346,5425488
2021,ECE,22,457,8,849,1697072,4685637
2022,AIDS,49,831,12,845,1127744,8244731
2022,IT,31,628,8,1471,4250622,6322491
2019,EEE,21,421,8,626,5442464,4066320
2019,EEE,18,340,7,931,2460764,3818679
2020,AIDS,29,466,8,1201,1491841,4962072
2019,IT,14,322,4,1341,4349962,3170495
2021,EEE,29,578,10,1353,1587700,5660263
2022,IT,46,768,11,1382,1683763,7036250
2019,IT,31,699,9,886,2515731,4964974
2019,CIVIL,14,308,6,1154,1488371,3117479
2020,EEE,12,312,6,684,1508062,3151944
2020,EEE,24,351,8,938,3296379,4088327
2021,CIVIL,22,508,9,1229,3619252,5036501
2022,AIDS,35,849,12,1461,3045175,9186377
2020,CIVIL,37,701,11,915,2862796,5351323
2019,EEE,31,490,9,903,3525587,4848718
2022,EEE,20,350,8,1487,1720801,4736368
2022,ECE,40,692,11,1396,3359699,7775215
2019,AIDS,33,599,9,1077,5663089,6578207
2020,CIVIL,30,495,8,588,1027224,3966736
2019,CSE,32,716,10,1297,5933274,6084884
2022,CSE,42,719,10,1421,4519927,6629744
2023,AIDS,47,821,12,940,5784083,9768136
2023,CIVIL,38,655,10,630,3962530,6369705
2021,CIVIL,17,447,7,876,2324982,3667632
2019,IT,29,664,9,618,1468586,5476534
2019,EEE,42,663,12,617,5685335,6776092
2021,MECH,29,701,12,816,2819146,6193800
2021,ECE,39,791,11,1145,3838877,6966355
2021,AIDS,27,528,10,1404,3578747,5655148
2022,MECH,40,874,12,1258,2170350,7704263
2019,MECH,42,836,12,664,1296856,7200716
2022,AIDS,25,567,10,1376,4704344,6657318
2021,CIVIL,28,704,11,663,1823947,5193100
2019,AIDS,15,310,6,1321,5518522,3984610
2022,MECH,27,619,12,768,1196019,6896191
2022,EEE,28,425,8,589,1833289,5363687
2021,ECE,36,605,10,527,4878709,6830399
2019,ECE,56,810,12,1417,5418156,8168618
2021,EEE,23,388,7,700,5199631,4895966
2019,EEE,34,654,11,1235,3813758,5444661
2023,CIVIL,41,651,11,586,4228403,6845624
2020,CSE,15,313,4,782,2271059,3330634
2020,AIDS,32,556,9,571,3437892,6210409
2020,ECE,31,508,8,1482,2981736,5539461
2021,EEE,34,580,10,1462,1674165,5296028
2023,AIDS,41,742,12,1050,3852414,8358482
2019,ECE,27,688,11,1048,4936287,6478399
2022,EEE,35,782,12,858,5174659,7208103
2019,ECE,29,446,8,903,2349039,4164932
2022,CIVIL,37,578,9,1454,3896557,5726669
2019,CSE,50,820,11,774,4359181,6374645
2023,CSE,33,733,9,712,1450927,7051825
2022,EEE,25,443,8,561,4124475,4778748
2021,ECE,38,588,10,1162,1147621,6564175
2019,CIVIL,33,685,11,784,1126566,5374982
2019,IT,20,313,6,706,5808208,3327576
2022,AIDS,35,556,10,906,3232921,6372056
2021,AIDS,35,645,11,890,3836605,7568755
2021,MECH,42,644,12,1403,1852005,6585212
2023,CIVIL,45,699,12,1189,4699924,7263330
2021,ECE,29,506,8,1113,5130789,6091900
2021,MECH,20,471,11,1043,5580061,5502676
2021,EEE,32,763,12,1438,2610153,7289255
2020,ECE,36,569,9,598,1193782,6008167
2023,MECH,32,520,11,907,3237063,6768106
2019,CSE,16,451,6,690,5290845,3986007
2022,AIDS,18,482,7,1376,4869926,6322673
2019,ECE,31,698,10,796,1663871,6031549
2023,MECH,16,371,9,1039,1654856,4158983
2022,CSE,40,717,10,1075,3463968,6780867
2023,CIVIL,32,582,11,701,3992633,6474436
2021,MECH,25,373,9,711,3752312,4518972
2022,EEE,37,654,10,1480,3092138,7082003
2021,EEE,32,796,12,559,4090106,7007590
2019,EEE,34,627,10,812,3666078,5442193
2019,ECE,41,834,12,1156,4894978,7228818
2022,AIDS,45,879,12,1511,2709809,8682876
2022,MECH,47,746,12,1215,2252682,8015570
2023,CIVIL,29,672,12,1195,1491358,5988126
2023,MECH,42,661,12,791,2906179,7314930
2021,AIDS,22,392,8,1220,1708359,4827467
2022,CSE,34,620,9,897,3513058,5741896
2019,AIDS,27,623,9,1149,2327756,5791728
2023,EEE,31,683,11,1317,2355760,6550685
2023,ECE,39,874,12,828,3546564,8115184
2019,CSE,27,645,9,1390,1965415,5507184
2023,ECE,18,402,7,1035,3272786,5561876
2021,EEE,22,514,9,1366,3126304,5325762
2022,IT,18,491,6,783,4755900,4545260
2019,AIDS,29,493,8,991,4494403,5373451
2022,AIDS,35,679,12,1319,4462783,8501787
2023,CIVIL,35,702,10,964,3973882,6087889
2023,MECH,50,899,12,1049,3490513,8651762
2019,CSE,20,310,5,1036,1594925,3276195
2021,ECE,25,486,8,1034,5329623,5438372
2020,CSE,19,314,4,522,4089770,3523672
2019,CIVIL,39,596,9,1229,2485339,5490793
2020,CIVIL,38,710,10,543,2968776,5790298
2020,ECE,58,884,12,987,2810480,7627759
2021,MECH,13,351,8,1317,2461505,4394089
2020,ECE,16,327,6,809,1568837,4159075
2020,ECE,53,876,12,1072,3271772,8262730
2021,EEE,15,316,6,598,1445849,3027817
2020,MECH,27,650,12,1394,2931419,6168398
2020,AIDS,29,727,10,1092,2381815,7198499
2020,EEE,25,528,10,1141,1377481,5449517
2019,IT,20,509,7,1330,4026287,4255909
2019,MECH,42,730,12,1098,2574887,6833792
2019,CIVIL,38,593,10,1357,2467448,5204583
2021,EEE,52,881,12,679,4100846,7783508
2023,MECH,20,403,10,1480,4535990,5496154
2020,CSE,32,503,7,1351,4911826,5355281
2020,ECE,21,352,7,834,5502371,4656992
2021,IT,40,674,10,1480,2345800,5900919
2020,AIDS,24,353,8,1287,4149202,5369386
2019,ECE,24,575,9,1241,2173761,5383543
2023,CSE,37,634,9,766,1472923,6325539
2022,CSE,14,330,5,945,1658620,3630343
2020,IT,25,434,7,1079,1977722,4227656
2019,AIDS,12,357,7,1050,4003110,3601049
2022,CIVIL,20,404,8,1358,5112341,4275075
2023,EEE,39,565,10,630,1781550,5792571
2022,AIDS,37,821,12,1491,3262342,8726465
2019,MECH,42,795,12,1337,4810373,7487662
2022,CSE,26,552,7,1024,5399053,5665553
2021,MECH,33,594,11,1141,3256576,6266107
2022,CIVIL,27,457,8,1057,3534424,4369921
2020,MECH,51,848,12,1495,1980549,8044757
2020,AIDS,17,366,7,603,4955867,4352395
2021,MECH,22,598,12,1382,1153233,5981006
2019,CIVIL,37,762,12,885,5606170,5693577
2020,CIVIL,19,400,7,924,1793978,3353140
2023,CIVIL,21,355,7,763,4259585,4177102
2020,AIDS,29,631,10,640,5092353,6822927
2020,CIVIL,28,692,11,872,5340470,5382020
2019,CSE,41,680,10,669,1555524,5851434
2022,ECE,19,391,7,1164,5595184,5657405
2020,CIVIL,41,746,12,571,5486369,6437179
2021,MECH,16,408,9,1089,1357525,4663964
2022,EEE,24,616,10,1459,4941550,6050389
2023,MECH,23,467,10,1064,4572721,6114445
2019,EEE,31,734,12,1238,3488837,6346613
2023,MECH,31,741,12,1201,2602844,7159890
2022,AIDS,32,517,9,1162,3853428,6483973
2022,MECH,22,521,10,585,5087040,6398852
2022,AIDS,39,827,12,674,5257774,8899637
2023,AIDS,32,577,10,596,4480634,7437227
2022,CIVIL,47,868,12,839,5020143,7785656
2023,CSE,37,873,11,826,5867590,8135902
2022,EEE,42,765,12,1045,3114773,7979454
2021,CIVIL,44,883,12,801,2173180,6987204
2022,CIVIL,12,329,6,1405,1340920,3111865
2023,ECE,29,658,10,554,2047346,6979526
2020,AIDS,27,587,10,1405,1035031,6160815
2022,AIDS,23,385,8,1392,1508186,4924150
2020,EEE,21,533,9,644,3891582,5321171
2021,MECH,24,612,12,1125,1114619,5418435
2019,MECH,37,664,12,1161,1958012,5888831
2021,CIVIL,30,568,10,914,4615292,5368236
2022,IT,19,430,5,1001,1293245,3660685
2020,IT,27,650,9,734,2466539,5479572
2020,MECH,29,479,10,738,1373980,5303487
2023,IT,53,779,10,1321,4861888,8118022
2020,ECE,21,462,8,960,5458330,4629750
2023,MECH,18,395,8,1505,4315755,4902524
2019,AIDS,35,809,12,821,3157117,7820252
2022,CIVIL,37,664,11,1340,5414170,6286989
2023,CSE,26,652,9,1421,2793358,5655042
2019,CIVIL,38,735,11,633,3269784,5769531
2020,MECH,21,382,9,1118,3652783,4939469
2020,ECE,28,524,9,1372,1870375,5165367
2019,MECH,27,711,12,1451,1115154,5612553
2020,CIVIL,26,417,8,831,3494318,4567044
2019,ECE,42,781,12,1436,1134961,6436952
2023,ECE,24,491,8,668,5093642,5635705
2023,ECE,55,890,12,756,4633448,9031742
2019,EEE,40,889,12,913,1543264,6615433
2023,MECH,17,406,9,827,1285160,4170444
2023,IT,47,681,9,1360,5924411,7392977
2023,IT,38,689,9,702,4955713,6958991
2021,MECH,30,543,12,819,5404001,6327007
2022,MECH,47,884,12,766,2708372,8817753
2020,EEE,40,767,12,1053,3245311,7246159
2021,IT,35,837,11,1217,4088689,6929893
2023,MECH,23,509,11,1015,3780666,6389069
2019,MECH,22,372,9,900,3352891,4367588
2023,EEE,40,608,11,1163,2486539,6359525
2022,EEE,36,889,12,923,3131501,7250480
2023,CIVIL,31,485,9,1509,1576772,5687738
2019,EEE,29,552,9,691,2099413,4530795
2022,CSE,20,312,5,526,1599621,4032100
2023,IT,34,598,8,1186,2318251,5932094
2022,CIVIL,17,375,7,1089,4078684,4284884
2020,CSE,18,350,5,1100,1425532,3489646
2020,MECH,23,448,11,663,1333411,4774587
2023,MECH,25,421,10,1335,4783110,5301502
2022,CIVIL,27,510,9,1376,3471055,4715634
2019,EEE,37,579,10,1070,1699583,5647692
2023,ECE,38,837,11,710,4366752,8227499
2020,ECE,24,455,8,732,2978125,4629282
2020,MECH,33,537,12,909,5114730,5631926
2023,ECE,30,675,11,1262,3304426,7340798
2022,AIDS,19,381,6,787,3326326,5004915
2020,CIVIL,44,791,12,1495,2469131,6487557
2022,CSE,33,655,8,522,3822900,6316287
2020,CIVIL,22,572,10,887,1194891,4993538
2020,IT,37,879,11,989,4259802,7284231
2021,EEE,20,343,8,658,2720562,4585859
2020,EEE,55,872,12,1373,3644742,7545333
2019,CIVIL,17,422,7,1123,4847779,4247885
2023,MECH,28,648,12,636,2471904,7244556
2023,MECH,30,629,12,1209,5449754,7470988
2022,AIDS,31,708,12,1315,1103812,7637986
2020,AIDS,33,622,10,1065,4347004,6803124
2019,EEE,24,410,8,931,3088404,4572888
2022,AIDS,15,388,7,1030,5322711,4771671
2021,CSE,39,732,9,1244,5715708,7011056
2022,AIDS,22,398,8,1020,4570258,5329309
2022,CSE,54,838,11,1442,3043230,7865129
2020,AIDS,29,445,8,679,4608483,5784148
2021,EEE,29,556,10,1360,2702170,5773598
2022,EEE,24,488,9,1303,2730171,5539209
2019,CSE,22,539,7,1075,4337372,4495121
2019,CIVIL,34,802,11,640,1878193,5822214
2023,EEE,22,570,10,685,3988710,6506150
2021,CIVIL,52,819,12,1020,5098683,7540340
2021,MECH,43,849,12,1293,4019308,8048216
2023,CSE,17,413,6,1284,5043645,4705253
2022,ECE,29,638,10,897,2123614,5800542
2021,EEE,34,867,12,1228,4084905,7213078
2019,IT,30,658,9,1280,2447205,5044650
2019,MECH,25,633,12,1196,2831045,5649269
2020,CIVIL,28,468,8,1079,5621070,5104648
2021,EEE,38,638,10,1464,3182878,6095334
2022,CSE,25,560,8,616,5664965,5217336
2023,ECE,21,498,8,1456,1160284,5842309
2023,AIDS,26,510,9,1146,4816941,7023837
2022,ECE,27,586,9,1039,2360929,5865222
2020,IT,49,771,11,553,5648021,6913897
2023,CIVIL,39,781,11,910,1777331,6592625
2021,MECH,15,322,8,1260,1066856,4025636
2020,ECE,56,859,12,1438,1375162,7472582
2021,CSE,20,408,6,984,2392243,4530226
2019,IT,29,595,8,978,1561473,4693189
2020,CSE,15,305,4,1227,3297459,3822222
2023,EEE,48,849,12,1021,2029476,8069594
2020,AIDS,31,502,9,824,4239473,6453993
2020,MECH,38,624,12,797,4603270,6324676
2020,CSE,29,543,7,974,4709346,5420217
2020,CIVIL,27,626,9,1192,5517454,5475353
2021,EEE,18,346,6,770,4850215,3870313
2019,EEE,35,890,12,1127,4168275,6700542
2022,MECH,15,312,7,1151,1285083,4429076
2020,EEE,32,679,12,942,5536186,6808438
2023,CIVIL,29,664,12,877,4888386,6713428
2020,CSE,41,641,9,693,1467548,5165049
2023,MECH,28,520,12,1243,1657082,6394136
2021,EEE,15,372,6,1382,2423560,3670834
2023,EEE,17,345,6,1500,2968892,5064559
2022,CIVIL,45,803,12,1176,2812013,7143984
2019,AIDS,39,573,9,755,1122225,6480211
2023,AIDS,52,854,12,829,2444070,9244759
2023,ECE,23,507,9,585,1200231,5835412
2019,EEE,21,423,9,1388,4545474,4485340
2022,CSE,18,309,4,767,5768458,4132478
2020,MECH,39,628,12,743,3965107,6628974
2023,EEE,26,486,9,1212,4689562,5858185
2019,IT,45,842,11,896,1839737,6322957
2021,MECH,15,359,8,1152,3199985,3818133
2019,ECE,38,741,12,823,1995310,6438168
2021,AIDS,20,516,10,1273,1150025,5793005
2022,EEE,15,301,6,893,1690943,3219782
2020,CIVIL,55,835,12,1273,3317116,6861510
2019,IT,25,655,9,1289,2308408,5111210
2023,EEE,22,464,9,833,3822626,5106798
2022,ECE,16,390,6,1349,4362198,4535410
2019,CSE,20,466,7,1387,3182661,4216333
2023,IT,25,506,7,965,4654890,5140256
2019,ECE,37,581,9,1023,4678618,5439928
2021,EEE,24,364,8,849,3075770,4800907
2019,CSE,42,815,11,1032,4164172,6457551
2019,IT,23,456,6,950,2116725,4084051
2019,CSE,37,605,8,1060,2694567,5115289
2022,CSE,40,694,10,1096,1894740,6321215
2019,IT,19,373,5,768,2093442,3062297
2023,IT,21,486,7,1258,5653733,5707322
2021,CSE,41,873,11,1336,2761175,7130698
2021,ECE,35,636,10,975,5837993,7214984
2019,AIDS,40,867,12,1384,5824626,8454366
2022,IT,26,539,8,1200,2616075,5680327
2022,EEE,57,832,12,1124,5590524,9134900
2023,MECH,17,440,10,1418,3160941,5428727
2019,CIVIL,32,564,9,737,4220250,4832591
2021,CSE,18,438,6,1031,4434141,4223302
2022,CSE,47,758,10,1292,5274013,7058220
2019,CIVIL,21,369,8,695,1545406,3245658
2022,AIDS,43,684,12,722,1276233,7950511
2022,CIVIL,29,497,9,522,1763963,5248599
2021,IT,19,504,6,1398,2003290,4322429
2020,CIVIL,40,867,12,679,5797818,6456444
2023,CSE,33,730,9,1086,5076972,7108012
2023,CIVIL,26,624,10,1005,1759703,5726890
2021,MECH,50,741,12,949,5563581,7843947
2022,EEE,38,587,11,516,4084237,6623776
2019,IT,19,525,6,712,2176550,4135399
2022,CIVIL,21,363,8,922,2562795,4224842
2021,CSE,44,859,11,529,2200143,7262740
2023,ECE,35,797,12,1463,5072265,8817005
2022,EEE,22,359,8,903,4329903,4953998
2023,IT,38,696,9,854,2986522,7058461
2019,CSE,25,556,7,1262,2230016,4258162
2023,AIDS,37,876,12,1467,5849604,9929340
2023,MECH,29,538,11,883,4069900,6035914
2020,AIDS,23,337,7,884,1630572,3821955
2020,MECH,14,324,7,730,2366948,3300536
2020,CIVIL,39,709,12,695,2318660,5785433
2023,IT,32,760,9,811,5475054,7438516
2021,CIVIL,40,870,12,1333,1302891,6503624
2023,MECH,36,716,12,821,2506519,7023769
2021,MECH,28,656,12,943,4669750,6840137
2021,MECH,28,682,12,1203,5126228,6876762
2020,EEE,25,457,9,626,4575538,4374188
2022,CSE,42,868,12,869,3065058,8028094
2019,IT,31,732,9,1102,4030082,6160682
2020,CIVIL,12,347,7,552,1147558,2776621
2020,CIVIL,42,627,11,739,1076085,5168237
2022,AIDS,42,732,12,870,3887577,8055096
2019,MECH,45,730,12,808,1028788,5912803
2023,ECE,14,355,6,746,5195799,4817369
2023,MECH,47,876,12,865,5944634,9181532
2020,MECH,35,567,11,651,1634290,6136373
2019,ECE,19,368,6,710,5871867,4496132
2020,CIVIL,39,748,11,1176,4526219,6683894
2021,AIDS,24,556,9,1152,3954708,5593145
2020,CSE,53,789,11,1376,1365250,6798319
2020,ECE,16,348,6,1351,3134811,3519977
2023,EEE,25,615,11,1506,4935685,7251899
2023,IT,35,712,9,782,3575805,7272917
2023,ECE,32,733,11,827,1725085,7206291
2021,CSE,11,301,5,923,5895455,4295535
2023,CIVIL,23,444,8,1423,2661717,5021639
2019,EEE,30,665,11,649,5446201,6362259
2022,EEE,33,719,11,1142,2308709,7180367
2019,EEE,43,872,12,868,5319713,7070365
2019,MECH,53,860,12,678,1065258,7675398
2023,IT,37,743,10,1181,1477049,7125842
2022,CIVIL,39,733,11,687,2649049,6050688
2022,CIVIL,36,854,12,646,4169447,6770395
2022,EEE,19,356,7,585,2422901,3729890
2021,CIVIL,38,861,12,1496,2702284,6939289
2023,IT,20,477,7,1078,5785278,4960934
2022,IT,36,592,8,1374,2259485,5462427
2021,AIDS,12,345,7,563,5353810,4578567
2020,ECE,24,469,8,908,3854953,5222707
2020,ECE,30,570,9,873,1544808,5267029
2021,AIDS,40,716,12,849,2367601,7372237
2021,CSE,20,438,7,642,5470430,4422555
2023,ECE,34,546,9,524,3046350,6209923
2023,IT,30,447,7,791,2005749,5148253
2020,IT,24,529,7,1316,2592500,4705941
2022,ECE,37,673,11,1172,3326444,7220939
2020,IT,13,379,5,927,5452005,4205422
2022,AIDS,18,364,6,633,1713447,4850907
2022,EEE,24,387,7,1279,2347426,4639936
2023,EEE,18,387,6,1333,5835791,4724875
